,trip_id,uniqueid,qmodegrouping_Bike,qmodegrouping_Bus,qmodegrouping_Car,qmodegrouping_Commuter Rail,qmodegrouping_Ferry,qmodegrouping_For-Hire Vehicle,qmodegrouping_Other,qmodegrouping_Subway,qmodegrouping_Walk,qsustainablemode_No,qsustainablemode_Yes
5208,15200745,10200745,0,0,1,0,0,0,0,0,0,1,0
5209,15200768,10200768,0,0,0,0,0,0,0,1,0,0,1
5210,15200778,10200778,0,0,1,0,0,0,0,0,0,1,0
5211,15200789,10200789,0,0,0,0,0,0,0,0,1,0,1
5212,15200790,10200790,0,0,0,0,0,0,0,1,0,0,1
5213,15200812,10200812,0,0,0,0,0,0,0,0,1,0,1
5214,15200814,10200814,0,0,1,0,0,0,0,0,0,1,0
5215,15200820,10200820,0,0,0,0,0,0,0,0,1,0,1
5216,15200872,10200872,0,0,0,0,0,0,0,1,0,0,1
5217,15200893,10200893,0,0,0,0,0,0,0,0,1,0,1
5218,15200899,10200899,0,0,0,0,0,0,0,1,0,0,1
5219,15200907,10200907,0,0,0,0,0,0,0,1,0,0,1
5220,15200931,10200931,0,0,0,0,0,0,0,0,1,0,1
5221,15200949,10200949,0,0,0,0,0,1,0,0,0,1,0
5222,15200962,10200962,0,0,0,0,0,0,0,0,1,0,1
5223,15200972,10200972,0,0,0,0,0,0,1,0,0,1,0
5224,15200990,10200990,0,0,1,0,0,0,0,0,0,1,0
5225,15200993,10200993,0,0,0,0,0,0,0,1,0,0,1
5226,15200998,10200998,0,0,0,0,0,0,0,0,1,0,1
5227,15201001,10201001,0,0,0,0,0,0,0,1,0,0,1
5228,15201099,10201099,0,0,1,0,0,0,0,0,0,1,0
5229,15201118,10201118,0,0,0,0,0,0,0,0,1,0,1
5230,15201142,10201142,0,0,0,0,0,0,0,0,1,0,1
5231,15201145,10201145,0,0,0,0,0,0,1,0,0,1,0
5232,15201178,10201178,0,0,0,0,0,0,0,0,1,0,1
5233,15201188,10201188,0,0,1,0,0,0,0,0,0,1,0
5234,15201192,10201192,0,0,1,0,0,0,0,0,0,1,0
5235,15201195,10201195,0,0,1,0,0,0,0,0,0,1,0
5236,15201215,10201215,0,0,0,0,0,1,0,0,0,1,0
5237,15201239,10201239,0,0,0,0,0,0,0,0,1,0,1
5238,15201287,10201287,0,0,1,0,0,0,0,0,0,1,0
5239,15201297,10201297,0,0,0,0,0,0,0,0,1,0,1
5240,15201330,10201330,0,0,0,0,0,0,0,0,1,0,1
5241,15201332,10201332,0,0,1,0,0,0,0,0,0,1,0
5242,15201336,10201336,0,0,1,0,0,0,0,0,0,1,0
5243,15201435,10201435,0,0,0,0,0,0,0,1,0,0,1
5244,15201439,10201439,0,1,0,0,0,0,0,0,0,0,1
5245,15201455,10201455,0,0,0,0,0,0,0,0,1,0,1
5246,15201567,10201567,0,0,1,0,0,0,0,0,0,1,0
5247,15201572,10201572,0,0,1,0,0,0,0,0,0,1,0
5248,15201620,10201620,0,0,0,0,0,0,0,1,0,0,1
5249,15201705,10201705,0,0,0,0,0,0,0,0,1,0,1
5250,15201706,10201706,0,0,1,0,0,0,0,0,0,1,0
5251,15201738,10201738,0,0,1,0,0,0,0,0,0,1,0
5252,15201743,10201743,0,0,1,0,0,0,0,0,0,1,0
5253,15201764,10201764,0,0,0,0,0,0,0,0,1,0,1
5254,15201781,10201781,0,0,1,0,0,0,0,0,0,1,0
5255,15201834,10201834,0,0,0,0,0,0,0,0,1,0,1
5256,15201870,10201870,0,0,0,0,0,0,1,0,0,1,0
5257,15201981,10201981,0,0,0,0,0,0,0,0,1,0,1
5258,15202043,10202043,0,0,0,0,0,0,0,0,1,0,1
5259,15202158,10202158,0,0,1,0,0,0,0,0,0,1,0
5260,15202276,10202276,0,0,0,0,0,0,0,0,1,0,1
5261,15202280,10202280,0,0,1,0,0,0,0,0,0,1,0
5262,15202302,10202302,0,0,1,0,0,0,0,0,0,1,0
5263,15202410,10202410,0,0,0,0,0,0,0,0,1,0,1
5264,15202439,10202439,0,0,0,0,0,0,0,0,1,0,1
5265,15202506,10202506,0,0,0,0,0,0,0,0,1,0,1
5266,15202510,10202510,0,0,1,0,0,0,0,0,0,1,0
5267,15202542,10202542,0,0,0,0,0,0,0,0,1,0,1
5269,15202633,10202633,0,0,1,0,0,0,0,0,0,1,0
5270,15202649,10202649,0,0,1,0,0,0,0,0,0,1,0
5271,15202654,10202654,0,0,1,0,0,0,0,0,0,1,0
5272,15202666,10202666,0,0,0,0,0,0,0,1,0,0,1
5273,15202702,10202702,0,0,1,0,0,0,0,0,0,1,0
5274,15202725,10202725,0,0,1,0,0,0,0,0,0,1,0
5275,15202733,10202733,0,0,1,0,0,0,0,0,0,1,0
5276,15202763,10202763,0,0,1,0,0,0,0,0,0,1,0
5277,15202821,10202821,0,0,0,0,0,0,0,0,1,0,1
5278,15203028,10203028,0,0,0,0,0,0,0,0,1,0,1
5279,15203098,10203098,0,0,0,0,0,0,0,0,1,0,1
5280,15203158,10203158,0,0,0,0,0,0,0,0,1,0,1
5281,15203583,10203583,0,0,1,0,0,0,0,0,0,1,0
5282,15203625,10203625,0,0,0,0,0,0,0,0,1,0,1
5283,15203722,10203722,0,1,0,0,0,0,0,0,0,0,1
5284,15204047,10204047,0,0,0,0,0,0,0,0,1,0,1
5285,15204115,10204115,0,0,1,0,0,0,0,0,0,1,0
5286,15204120,10204120,0,0,1,0,0,0,0,0,0,1,0
5287,16101839,101839,0,0,0,0,0,0,0,1,0,0,1
5288,16200023,10200023,0,0,1,0,0,0,0,0,0,1,0
5289,16200143,10200143,0,0,0,0,0,0,0,0,1,0,1
5290,16200166,10200166,0,0,1,0,0,0,0,0,0,1,0
5291,16200172,10200172,0,0,0,0,0,0,0,1,0,0,1
5292,16200175,10200175,0,0,0,0,0,0,0,1,0,0,1
5293,16200208,10200208,0,0,0,0,0,0,0,0,1,0,1
5294,16200214,10200214,0,0,1,0,0,0,0,0,0,1,0
5295,16200224,10200224,0,0,1,0,0,0,0,0,0,1,0
5296,16200253,10200253,0,0,0,0,0,0,0,0,1,0,1
5297,16200257,10200257,0,0,1,0,0,0,0,0,0,1,0
5298,16200330,10200330,0,0,0,0,0,0,1,0,0,1,0
5299,16200371,10200371,0,0,0,0,0,0,0,0,1,0,1
5300,16200456,10200456,0,0,1,0,0,0,0,0,0,1,0
5301,16200469,10200469,0,0,0,0,0,0,0,0,1,0,1
5302,16200505,10200505,0,0,0,0,0,0,0,0,1,0,1
5303,16200509,10200509,0,0,1,0,0,0,0,0,0,1,0
5304,16200517,10200517,0,0,1,0,0,0,0,0,0,1,0
5305,16200567,10200567,0,0,0,0,0,0,0,0,1,0,1
5306,16200592,10200592,0,0,0,0,0,0,0,1,0,0,1
5307,16200603,10200603,0,0,1,0,0,0,0,0,0,1,0
5308,16200645,10200645,0,0,1,0,0,0,0,0,0,1,0
5309,16200681,10200681,0,0,1,0,0,0,0,0,0,1,0
5310,16200704,10200704,0,0,1,0,0,0,0,0,0,1,0
5311,16200768,10200768,0,1,0,0,0,0,0,0,0,0,1
5312,16200790,10200790,0,0,0,0,0,0,0,0,1,0,1
5313,16200820,10200820,0,0,0,0,0,0,0,0,1,0,1
5314,16200893,10200893,0,0,0,0,0,0,0,0,1,0,1
5315,16200899,10200899,0,0,0,0,0,0,0,1,0,0,1
5316,16200907,10200907,0,0,0,0,0,0,0,1,0,0,1
5317,16200931,10200931,0,0,0,0,0,0,0,0,1,0,1
5318,16200962,10200962,0,0,0,0,0,0,0,0,1,0,1
5319,16200998,10200998,0,0,0,0,0,0,0,0,1,0,1
5320,16201099,10201099,0,0,1,0,0,0,0,0,0,1,0
5321,16201118,10201118,0,0,1,0,0,0,0,0,0,1,0
5322,16201142,10201142,0,0,0,0,0,0,0,0,1,0,1
5323,16201145,10201145,0,0,0,0,0,0,1,0,0,1,0
5324,16201178,10201178,0,0,1,0,0,0,0,0,0,1,0
5325,16201188,10201188,0,0,1,0,0,0,0,0,0,1,0
5326,16201195,10201195,0,0,1,0,0,0,0,0,0,1,0
5327,16201239,10201239,0,0,0,0,0,0,0,0,1,0,1
5328,16201330,10201330,0,0,0,0,0,0,0,0,1,0,1
5329,16201455,10201455,0,0,0,0,0,0,0,0,1,0,1
5330,16201567,10201567,0,0,1,0,0,0,0,0,0,1,0
5331,16201572,10201572,0,0,0,0,0,0,0,0,1,0,1
5332,16201705,10201705,0,0,0,0,0,0,0,0,1,0,1
5333,16201738,10201738,0,0,1,0,0,0,0,0,0,1,0
5334,16201764,10201764,0,0,0,0,0,0,0,0,1,0,1
5335,16201981,10201981,0,0,0,0,0,0,0,0,1,0,1
5336,16202302,10202302,0,0,1,0,0,0,0,0,0,1,0
5337,16202410,10202410,0,0,0,0,0,0,0,0,1,0,1
5339,16202654,10202654,0,0,1,0,0,0,0,0,0,1,0
5340,16202666,10202666,0,0,0,0,0,0,0,1,0,0,1
5341,16202702,10202702,0,0,1,0,0,0,0,0,0,1,0
5342,16202725,10202725,0,0,1,0,0,0,0,0,0,1,0
5343,16202733,10202733,0,0,1,0,0,0,0,0,0,1,0
5344,16202821,10202821,0,0,1,0,0,0,0,0,0,1,0
5345,16203028,10203028,0,0,0,0,0,0,0,0,1,0,1
5346,16203158,10203158,0,0,0,0,0,0,0,0,1,0,1
5347,16203583,10203583,0,0,1,0,0,0,0,0,0,1,0
5348,16203625,10203625,0,0,0,0,0,0,0,0,1,0,1
5349,16203722,10203722,0,0,0,0,0,0,0,0,1,0,1
5350,16204115,10204115,0,0,1,0,0,0,0,0,0,1,0
5351,16204120,10204120,0,0,1,0,0,0,0,0,0,1,0
5352,17101839,101839,0,1,0,0,0,0,0,0,0,0,1
5353,17200143,10200143,0,0,0,0,0,0,0,0,1,0,1
5354,17200172,10200172,0,0,0,0,0,0,0,1,0,0,1
5355,17200175,10200175,0,0,0,0,0,0,0,1,0,0,1
5356,17200214,10200214,0,0,1,0,0,0,0,0,0,1,0
5357,17200224,10200224,0,0,1,0,0,0,0,0,0,1,0
5358,17200330,10200330,0,0,0,0,0,0,0,0,1,0,1
5359,17200371,10200371,0,0,0,0,0,0,0,0,1,0,1
5360,17200509,10200509,0,0,1,0,0,0,0,0,0,1,0
5361,17200603,10200603,0,0,1,0,0,0,0,0,0,1,0
5362,17200681,10200681,0,0,1,0,0,0,0,0,0,1,0
5363,17200790,10200790,0,0,0,0,0,0,0,0,1,0,1
5364,17200899,10200899,0,0,0,0,0,0,0,0,1,0,1
5365,17200998,10200998,0,0,0,0,0,0,0,0,1,0,1
5366,17201099,10201099,0,0,1,0,0,0,0,0,0,1,0
5367,17201178,10201178,0,0,1,0,0,0,0,0,0,1,0
5368,17201195,10201195,0,0,1,0,0,0,0,0,0,1,0
5369,17201239,10201239,0,0,1,0,0,0,0,0,0,1,0
5370,17201738,10201738,0,0,1,0,0,0,0,0,0,1,0
5371,17202410,10202410,0,0,0,0,0,0,0,0,1,0,1
5373,17202666,10202666,0,0,0,0,0,0,0,1,0,0,1
5374,17202702,10202702,0,0,1,0,0,0,0,0,0,1,0
5375,17202733,10202733,0,0,1,0,0,0,0,0,0,1,0
5376,17203028,10203028,0,0,0,0,0,0,0,0,1,0,1
5377,17203583,10203583,0,0,1,0,0,0,0,0,0,1,0
5378,17203722,10203722,0,1,0,0,0,0,0,0,0,0,1
5379,17204136,10204136,0,0,0,0,0,0,0,0,1,0,1
5380,18101839,101839,0,1,0,0,0,0,0,0,0,0,1
5381,18200143,10200143,0,0,0,0,0,0,0,0,1,0,1
5382,18200175,10200175,0,0,0,0,0,0,0,0,1,0,1
5383,18200214,10200214,0,0,1,0,0,0,0,0,0,1,0
5384,18200224,10200224,0,0,1,0,0,0,0,0,0,1,0
5385,18200330,10200330,0,0,0,0,0,0,0,0,1,0,1
5386,18200603,10200603,0,0,1,0,0,0,0,0,0,1,0
5387,18200681,10200681,0,0,1,0,0,0,0,0,0,1,0
5388,18200998,10200998,0,0,0,0,0,0,0,1,0,0,1
5389,18201099,10201099,0,0,1,0,0,0,0,0,0,1,0
5390,18201178,10201178,0,0,1,0,0,0,0,0,0,1,0
5391,18201239,10201239,0,0,1,0,0,0,0,0,0,1,0
